size;graphDistance;greedyWalkPathLenght;metricDistance;;
100000;0;18;0;;0
100000;0;10;0;;1
100000;0;15;0;;2
100000;0;20;0;;3
100000;0;9;0;;4
100000;0;9;0;;5
100000;0;17;0;;6
100000;0;9;0;;7
100000;0;18;0;;8
100000;0;14;0;;9
100000;0;18;0;;10
100000;0;15;0;;11
100000;0;17;0;;12
100000;0;12;0;;13
100000;0;17;0;;14
100000;0;17;0;;15
100000;0;13;0;;16
100000;0;10;0;;17
100000;0;14;0;;18
100000;0;8;0;;19
100000;0;11;0;;20
100000;0;7;0;;21
100000;0;12;0;;22
100000;0;18;0;;23
100000;0;17;0;;24
100000;0;13;0;;25
100000;0;24;0;;26
100000;0;18;0;;27
100000;0;13;0;;28
100000;0;15;0;;29
100000;0;12;0;;30
100000;0;12;0;;31
100000;0;19;0;;32
100000;0;25;0;;33
100000;0;19;0;;34
100000;0;9;0;;35
100000;0;12;0;;36
100000;0;16;0;;37
100000;0;19;0;;38
100000;0;18;0;;39
100000;0;11;0;;40
100000;0;18;0;;41
100000;0;14;0;;42
100000;0;11;0;;43
100000;0;16;0;;44
100000;0;16;0;;
100000;0;10;0;;
100000;0;16;0;;
100000;0;16;0;;
100000;0;13;0;;
100000;0;20;0;;
100000;0;9;0;;
100000;0;11;0;;
100000;0;11;0;;
100000;0;24;0;;
100000;0;20;0;;
100000;0;13;0;;
100000;0;16;0;;
100000;0;12;0;;
100000;0;22;0;;
100000;0;12;0;;
100000;0;15;0;;
100000;0;21;0;;
100000;0;16;0;;
100000;0;13;0;;
100000;0;15;0;;
100000;0;12;0;;
100000;0;17;0;;
100000;0;11;0;;
100000;0;13;0;;
100000;0;14;0;;
100000;0;13;0;;
100000;0;14;0;;
100000;0;9;0;;
100000;0;14;0;;
100000;0;12;0;;
100000;0;16;0;;
100000;0;10;0;;
100000;0;14;0;;
100000;0;18;0;;
100000;0;20;0;;
100000;0;13;0;;
100000;0;10;0;;
100000;0;10;0;;
100000;0;24;0;;
100000;0;15;0;;
100000;0;7;0;;
100000;0;19;0;;
100000;0;16;0;;
100000;0;12;0;;
100000;0;15;0;;
100000;0;13;0;;
100000;0;13;0;;
100000;0;17;0;;
100000;0;22;0;;
100000;0;11;0;;
100000;0;19;0;;
100000;0;7;0;;
100000;0;11;0;;
100000;0;14;0;;
100000;0;19;0;;
100000;0;6;0;;
100000;0;14;0;;
100000;0;11;0;;
100000;0;18;0;;
100000;0;13;0;;
100000;0;10;0;;
100000;0;6;0;;
100000;0;12;0;;
100000;0;17;0;;
100000;0;11;0;;
100000;0;10;0;;
100000;0;10;0;;
100000;0;13;0;;
100000;0;11;0;;
100000;0;20;0;;
100000;0;17;0;;
100000;0;12;0;;
100000;0;13;0;;
100000;0;11;0;;
100000;0;8;0;;
100000;0;14;0;;
100000;0;11;0;;
100000;0;15;0;;
100000;0;8;0;;
100000;0;22;0;;
100000;0;10;0;;
100000;0;9;0;;
100000;0;13;0;;
100000;0;10;0;;
100000;0;9;0;;
100000;0;10;0;;
100000;0;11;0;;
