size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;10; 2;0,062210;
100000;10; 3;0,075857;
100000;8; 2;0,079628;
100000;10; 3;0,062612;
100000;10; 3;0,014155;
100000;10; 2;0,024749;
100000;9; 2;0,010083;
100000;10; 3;0,016591;
100000;10; 3;0,044503;
100000;11; 3;0,126668;
100000;11; 4;0,001359;
100000;9; 3;0,021407;
100000;10; 2;0,217285;
100000;10; 2;0,036866;
100000;10; 2;0,005336;
100000;12; 1;0,014094;
100000;9; 1;0,116784;
100000;10; 1;0,052969;
100000;10; 2;0,040133;
100000;11; 2;0,033209;
100000;8; 2;0,009748;
100000;9; 2;0,017778;
100000;8; 3;0,024986;
100000;10; 2;0,307440;
100000;10; 2;0,004108;
100000;11; 2;0,186092;
100000;10; 1;0,418405;
100000;10; 3;0,033467;
100000;10; 4;0,011297;
100000;11; 3;0,008269;
100000;11; 1;0,053064;
100000;10; 2;0,020166;
100000;10; 2;0,001361;
100000;10; 5;0,013049;
100000;10; 2;0,028847;
100000;11; 2;0,008889;
100000;10; 2;0,029447;
100000;9; 2;0,022513;
100000;9; 2;0,261004;
100000;11; 3;0,005784;
100000;9; 3;0,022965;
100000;8; 1;0,044051;
100000;10; 2;0,089866;
100000;6; 4;0,026590;
100000;11; 1;0,310814;
100000;11; 2;0,025677;
100000;10; 2;0,006033;
100000;10; 3;0,019416;
100000;11; 5;0,009814;
100000;12; 2;0,061025;
100000;9; 2;0,034299;
100000;10; 4;0,005432;
100000;11; 2;0,127434;
100000;10; 2;0,060596;
100000;10; 3;0,054335;
100000;11; 3;0,003069;
100000;10; 1;0,303643;
100000;10; 2;0,022714;
100000;2147483647; 1;0,308981;
100000;9; 2;0,095335;
100000;10; 2;0,038764;
100000;11; 1;0,193780;
100000;11; 3;0,032918;
100000;10; 3;0,026264;
100000;10; 2;0,055534;
100000;11; 3;0,036927;
100000;10; 1;0,006164;
100000;9; 2;0,079649;
100000;10; 1;0,492050;
100000;10; 3;0,015306;
100000;11; 2;0,086921;
100000;11; 5;0,228582;
100000;10; 2;0,199479;
100000;10; 3;0,035822;
100000;10; 4;0,012480;
100000;11; 2;0,040927;
100000;11; 4;0,041986;
100000;9; 3;0,006573;
100000;11; 4;0,047909;
100000;10; 4;0,003299;
100000;12; 2;0,292312;
100000;10; 2;0,028847;
100000;11; 2;0,008471;
100000;9; 3;0,020649;
100000;10; 2;0,072777;
100000;9; 3;0,008906;
100000;11; 2;0,062510;
100000;11; 1;0,107119;
100000;11; 2;0,018533;
100000;9; 3;0,003973;
100000;11; 1;0,028555;
100000;11; 3;0,009233;
100000;8; 2;0,009801;
100000;9; 4;0,028033;
100000;11; 2;0,079077;
100000;10; 3;0,015351;
100000;9; 2;0,037748;
100000;9; 2;0,031568;
100000;11; 4;0,246466;
100000;11; 2;0,000348;
100000;8; 1;0,073281;
100000;7; 1;0,161380;
100000;8; 2;0,005479;
100000;8; 2;0,000995;
100000;6; 1;0,000644;
100000;9; 2;0,035544;
100000;8; 1;0,032994;
100000;9; 4;0,053930;
100000;9; 2;0,040758;
100000;8; 2;0,020957;
100000;9; 2;0,044681;
100000;9; 2;0,008699;
100000;9; 2;0,035209;
100000;9; 4;0,049716;
100000;8; 3;0,058423;
100000;9; 3;0,022638;
100000;8; 1;0,037493;
100000;10; 2;0,030929;
100000;9; 2;0,056435;
100000;8; 2;0,028176;
100000;8; 3;0,060426;
100000;8; 1;0,202455;
100000;7; 5;0,006116;
100000;9; 2;0,133347;
100000;9; 1;0,062972;
100000;9; 3;0,189371;
100000;9; 2;0,011735;
100000;8; 2;0,066698;
100000;8; 2;0,022751;
100000;9; 3;0,095501;
100000;8; 2;0,071150;
100000;8; 2;0,004515;
100000;8; 1;0,171806;
100000;9; 1;0,076543;
100000;8; 2;0,014519;
100000;7; 1;0,002875;
100000;8; 2;0,035557;
100000;7; 3;0,019286;
100000;9; 2;0,065473;
100000;8; 4;0,006415;
100000;6; 2;0,098639;
100000;9; 1;0,185809;
100000;8; 2;0,012743;
100000;7; 2;0,006463;
100000;2147483647; 1;0,243627;
100000;7; 2;0,017307;
100000;9; 1;0,040439;
100000;8; 2;0,007049;
100000;6; 2;0,029629;
100000;8; 3;0,037404;
100000;8; 2;0,026593;
100000;8; 1;0,172048;
100000;9; 2;0,084715;
100000;7; 2;0,057311;
100000;8; 2;0,038965;
100000;7; 3;0,079899;
100000;9; 1;0,034626;
100000;8; 1;0,028691;
100000;8; 1;0,016635;
100000;9; 2;0,072897;
100000;9; 2;0,057824;
100000;7; 2;0,065425;
100000;8; 2;0,090130;
100000;8; 2;0,017158;
100000;9; 1;0,132270;
100000;8; 3;0,030123;
100000;8; 3;0,019456;
100000;8; 1;0,012709;
100000;8; 2;0,001683;
100000;9; 5;0,036002;
100000;8; 2;0,056270;
100000;8; 3;0,022900;
100000;8; 3;0,030629;
100000;9; 1;0,181116;
100000;8; 4;0,007530;
100000;9; 3;0,020339;
100000;9; 2;0,057507;
100000;2147483647; 1;0,257185;
100000;7; 4;0,071855;
100000;8; 2;0,023664;
100000;9; 1;0,069464;
100000;8; 2;0,090039;
100000;8; 4;0,006821;
100000;8; 2;0,067632;
100000;7; 1;0,037316;
100000;6; 3;0,049637;
100000;6; 2;0,055244;
100000;9; 3;0,035376;
100000;9; 1;0,032587;
100000;2147483647; 1;0,016031;
100000;8; 5;0,007110;
100000;8; 3;0,029827;
100000;10; 2;0,092299;
100000;8; 2;0,026335;
100000;9; 1;0,067253;
100000;10; 1;0,117168;
100000;8; 2;0,135661;
100000;9; 1;0,019931;
100000;6; 2;0,109428;
100000;9; 1;0,024170;
100000;7; 2;0,001367;
100000;7; 3;0,007615;
100000;9; 2;0,012682;
100000;7; 3;0,000793;
100000;8; 2;0,269896;
100000;7; 2;0,024487;
100000;8; 3;0,160499;
100000;9; 3;0,092489;
100000;8; 2;0,064151;
100000;7; 3;0,001718;
100000;10; 2;0,060609;
100000;8; 2;0,008409;
100000;11; 1;0,155149;
100000;8; 2;0,008935;
100000;8; 4;0,035793;
100000;8; 6;0,012917;
100000;10; 3;0,002685;
100000;9; 2;0,108847;
100000;7; 3;0,000929;
100000;9; 2;0,000174;
100000;8; 2;0,013081;
100000;7; 3;0,012391;
100000;7; 3;0,071713;
100000;8; 2;0,080454;
100000;10; 4;0,013328;
100000;8; 4;0,016082;
100000;8; 2;0,031700;
100000;8; 1;0,072283;
100000;7; 1;0,158954;
100000;8; 3;0,007492;
100000;7; 1;0,104453;
100000;7; 3;0,057453;
100000;9; 1;0,023387;
100000;8; 3;0,056947;
100000;7; 2;0,083359;
100000;7; 1;0,351729;
100000;7; 1;0,238010;
100000;8; 4;0,089589;
100000;8; 2;0,172237;
100000;9; 1;0,019525;
100000;8; 5;0,004262;
100000;9; 4;0,011848;
100000;8; 2;0,016165;
100000;8; 2;0,002270;
100000;7; 2;0,152440;
100000;8; 2;0,022838;
100000;8; 2;0,053271;
100000;7; 2;0,005699;
100000;8; 4;0,000772;
100000;9; 2;0,055992;
100000;8; 2;0,012645;
100000;8; 2;0,005872;
100000;7; 4;0,014659;
100000;4; 2;0,039009;
100000;2147483647; 1;0,390067;
100000;7; 3;0,052256;
100000;8; 2;0,002038;
100000;8; 1;0,006215;
100000;8; 2;0,021241;
100000;10; 1;0,008411;
100000;7; 1;0,286406;
100000;8; 2;0,033717;
100000;7; 2;0,009003;
100000;8; 2;0,055694;
100000;8; 4;0,088414;
100000;7; 3;0,022146;
100000;9; 4;0,024260;
