size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;0; 12;0,000000;
100000;0; 17;0,000000;
100000;0; 23;0,000000;
100000;0; 20;0,000000;
100000;12; 7;0,634538;
100000;0; 16;0,000000;
100000;0; 25;0,000000;
100000;0; 20;0,000000;
100000;0; 18;0,000000;
100000;0; 18;0,000000;
100000;0; 18;0,000000;
100000;10; 3;0,131898;
100000;0; 11;0,000000;
100000;10; 2;0,586421;
100000;11; 4;0,289279;
100000;14; 7;0,375783;
100000;0; 17;0,000000;
100000;0; 13;0,000000;
100000;0; 21;0,000000;
100000;0; 18;0,000000;
100000;0; 17;0,000000;
100000;12; 5;0,482061;
100000;0; 27;0,000000;
100000;0; 9;0,000000;
100000;0; 16;0,000000;
100000;0; 21;0,000000;
100000;0; 18;0,000000;
100000;13; 8;0,454977;
100000;0; 15;0,000000;
100000;0; 20;0,000000;
100000;12; 11;0,078784;
100000;0; 29;0,000000;
100000;0; 21;0,000000;
100000;0; 15;0,000000;
100000;0; 19;0,000000;
100000;12; 6;0,078784;
100000;0; 23;0,000000;
100000;11; 11;0,683211;
100000;0; 30;0,000000;
100000;11; 2;0,203550;
100000;0; 16;0,000000;
100000;0; 23;0,000000;
100000;0; 27;0,000000;
100000;12; 1;0,240806;
100000;0; 23;0,000000;
100000;0; 33;0,000000;
100000;0; 33;0,000000;
100000;0; 24;0,000000;
100000;14; 5;0,355160;
100000;10; 2;0,556622;
100000;11; 2;0,020990;
100000;0; 21;0,000000;
100000;0; 12;0,000000;
100000;10; 3;0,122825;
100000;12; 1;0,085918;
100000;0; 17;0,000000;
100000;0; 22;0,000000;
100000;0; 15;0,000000;
100000;10; 3;0,569852;
100000;14; 2;0,707642;
100000;10; 6;0,631589;
100000;11; 1;0,114221;
100000;12; 1;0,698924;
100000;0; 22;0,000000;
100000;0; 19;0,000000;
100000;0; 13;0,000000;
100000;0; 21;0,000000;
100000;0; 19;0,000000;
100000;0; 20;0,000000;
100000;0; 16;0,000000;
100000;0; 31;0,000000;
100000;0; 17;0,000000;
100000;12; 2;0,109433;
100000;0; 24;0,000000;
100000;0; 16;0,000000;
100000;0; 11;0,000000;
100000;11; 14;0,460239;
100000;0; 17;0,000000;
100000;0; 10;0,000000;
100000;0; 16;0,000000;
100000;11; 2;0,200645;
100000;0; 19;0,000000;
100000;0; 15;0,000000;
100000;0; 13;0,000000;
