lenght;probability;succeed
0;0,0;0,0
1;0,0402;0,0
2;0,0682;0,0
3;0,0437;0,0001
4;0,0283;0,0
5;0,0209;0,0005
6;0,0197;0,0014
7;0,0148;0,0017
8;0,0144;0,0043
9;0,0174;0,0084
10;0,0189;0,0108
11;0,023;0,0162
12;0,0301;0,0243
13;0,034;0,0307
14;0,0409;0,0354
15;0,0469;0,0436
16;0,049;0,0454
17;0,0484;0,0454
18;0,048;0,0464
19;0,0451;0,044
20;0,0456;0,044
21;0,0415;0,039
22;0,0371;0,0352
23;0,0312;0,0303
24;0,0293;0,0286
25;0,0266;0,0259
26;0,023;0,0226
27;0,0208;0,0206
28;0,016;0,0157
29;0,0124;0,0122
30;0,0104;0,0102
31;0,0114;0,0114
32;0,0076;0,0075
33;0,0061;0,006
34;0,007;0,0069
35;0,0047;0,0044
36;0,0036;0,0035
37;0,0018;0,0018
38;0,0023;0,0023
39;0,0019;0,0019
40;0,0021;0,0021
41;0,0011;0,001
42;0,0011;0,0011
43;0,0011;0,0011
44;0,0007;0,0007
45;0,0006;0,0006
46;0,0002;0,0002
47;0,0002;0,0002
48;0,0002;0,0002
49;0,0002;0,0002
50;0,0;0,0
51;0,0;0,0
52;0,0002;0,0002
