size;graphDistance;greedyWalkPathLenght;metricDistance;;;
100000;0;16;0;;;0
100000;0;21;0;;;1
100000;0;21;0;;;2
100000;0;15;0;;;3
100000;0;16;0;;;4
100000;0;14;0;;;5
100000;0;21;0;;;6
100000;0;12;0;;;7
100000;0;21;0;;;8
100000;0;12;0;;;9
100000;10;2;0,1589;;;10
100000;0;22;0;;;11
100000;0;37;0;;;12
100000;0;28;0;;;13
100000;9;1;0,459101;;;14
100000;0;13;0;;;15
100000;0;12;0;;;16
100000;0;38;0;;;17
100000;0;14;0;;;18
100000;0;12;0;;;19
100000;9;1;0,180238;;;20
100000;0;13;0;;;21
100000;0;22;0;;;22
100000;0;22;0;;;23
100000;0;17;0;;;24
100000;9;1;0,754605;;;25
100000;0;11;0;;;26
100000;0;11;0;;;27
100000;0;20;0;;;28
100000;0;20;0;;;29
100000;0;31;0;;;30
100000;0;18;0;;;31
100000;0;15;0;;;32
100000;0;18;0;;;33
100000;0;27;0;;;34
100000;0;10;0;;;35
100000;0;22;0;;;36
100000;0;14;0;;;37
100000;0;22;0;;;38
100000;0;38;0;;;39
100000;0;24;0;;;40
100000;0;31;0;;;41
100000;11;3;0,27183;;;42
100000;0;19;0;;;43
100000;0;13;0;;;44
100000;0;26;0;;;45
100000;0;10;0;;;46
100000;0;21;0;;;47
100000;0;17;0;;;48
100000;0;13;0;;;49
100000;0;19;0;;;50
100000;0;22;0;;;51
100000;0;30;0;;;52
100000;0;39;0;;;53
100000;0;37;0;;;54
100000;0;10;0;;;55
100000;0;31;0;;;
100000;0;29;0;;;
100000;0;23;0;;;
100000;0;12;0;;;
100000;0;18;0;;;
100000;0;18;0;;;
100000;0;17;0;;;
100000;0;15;0;;;
100000;0;17;0;;;
100000;0;8;0;;;
100000;0;19;0;;;
100000;0;14;0;;;
100000;0;17;0;;;
100000;0;14;0;;;
100000;0;16;0;;;
100000;9;4;0,062798;;;
100000;0;22;0;;;
100000;0;16;0;;;
100000;7;4;0,038524;;;
100000;0;18;0;;;
100000;0;20;0;;;
100000;0;19;0;;;
100000;10;2;0,162788;;;
100000;0;15;0;;;
100000;0;11;0;;;
100000;0;33;0;;;
100000;0;23;0;;;
100000;0;26;0;;;
100000;0;22;0;;;
100000;0;11;0;;;
100000;0;14;0;;;
100000;0;11;0;;;
100000;0;19;0;;;
100000;0;11;0;;;
100000;0;22;0;;;
100000;0;18;0;;;
100000;0;11;0;;;
100000;8;2;0,067418;;;
100000;0;30;0;;;
100000;0;12;0;;;
100000;0;16;0;;;
100000;10;4;0,122574;;;
100000;0;20;0;;;
100000;0;17;0;;;
100000;0;18;0;;;
100000;9;13;0,537434;;;
100000;0;19;0;;;
100000;0;10;0;;;
100000;0;13;0;;;
100000;0;15;0;;;
100000;0;22;0;;;
100000;0;27;0;;;
100000;0;17;0;;;
100000;0;12;0;;;
100000;0;19;0;;;
100000;0;20;0;;;
100000;0;19;0;;;
100000;0;22;0;;;
100000;0;19;0;;;
100000;0;32;0;;;
100000;0;23;0;;;
100000;0;18;0;;;
100000;0;11;0;;;
100000;0;20;0;;;
100000;0;23;0;;;
100000;0;13;0;;;
100000;0;8;0;;;
100000;0;21;0;;;
100000;0;18;0;;;
100000;0;20;0;;;
100000;0;23;0;;;
100000;0;23;0;;;
100000;0;19;0;;;
100000;0;13;0;;;
100000;11;3;0,148073;;;
100000;0;11;0;;;
100000;0;17;0;;;
100000;0;26;0;;;
100000;0;21;0;;;
100000;0;16;0;;;
100000;12;4;0,312601;;;
100000;0;12;0;;;
100000;0;18;0;;;
100000;0;24;0;;;
100000;0;18;0;;;
100000;0;16;0;;;
100000;0;13;0;;;
100000;0;30;0;;;
100000;0;16;0;;;
100000;0;14;0;;;
100000;0;13;0;;;
100000;0;9;0;;;
100000;0;13;0;;;
100000;9;3;0,212816;;;
100000;0;15;0;;;
100000;0;15;0;;;
100000;11;1;0,32612;;;
100000;0;12;0;;;
100000;0;21;0;;;
100000;0;14;0;;;
100000;0;19;0;;;
100000;0;16;0;;;
100000;0;24;0;;;
100000;0;32;0;;;
100000;0;13;0;;;
100000;0;12;0;;;
100000;0;13;0;;;
100000;11;1;0,145509;;;
100000;0;17;0;;;
100000;0;16;0;;;
100000;0;26;0;;;
100000;0;34;0;;;
100000;0;15;0;;;
100000;9;3;0,279646;;;
100000;0;27;0;;;
100000;0;19;0;;;
100000;0;14;0;;;
100000;10;5;0,561892;;;
100000;0;12;0;;;
100000;0;14;0;;;
100000;0;12;0;;;
100000;0;16;0;;;
100000;0;18;0;;;
100000;0;12;0;;;
100000;0;27;0;;;
100000;0;14;0;;;
100000;0;17;0;;;
100000;0;14;0;;;
100000;0;11;0;;;
100000;0;19;0;;;
100000;0;13;0;;;
100000;0;26;0;;;
100000;0;9;0;;;
100000;0;18;0;;;
100000;0;24;0;;;
100000;0;12;0;;;
100000;0;19;0;;;
100000;0;21;0;;;
100000;0;14;0;;;
100000;0;9;0;;;
100000;0;11;0;;;
100000;0;20;0;;;
100000;0;16;0;;;
100000;0;30;0;;;
100000;0;21;0;;;
100000;0;12;0;;;
100000;0;17;0;;;
100000;0;12;0;;;
100000;0;16;0;;;
100000;0;22;0;;;
100000;0;26;0;;;
100000;0;22;0;;;
100000;0;30;0;;;
100000;0;13;0;;;
100000;10;2;0,105919;;;
100000;0;16;0;;;
100000;0;11;0;;;
100000;0;14;0;;;
100000;0;19;0;;;
100000;0;14;0;;;
100000;0;22;0;;;
100000;0;20;0;;;
100000;0;14;0;;;
100000;9;10;0,607012;;;
100000;0;18;0;;;
100000;0;23;0;;;
100000;0;14;0;;;
100000;0;19;0;;;
100000;0;27;0;;;
100000;0;12;0;;;
100000;0;14;0;;;
100000;0;19;0;;;
100000;0;18;0;;;
100000;0;19;0;;;
100000;11;4;0,579102;;;
100000;0;17;0;;;
100000;0;18;0;;;
100000;9;1;0,206792;;;
100000;0;18;0;;;
100000;0;22;0;;;
100000;0;19;0;;;
100000;0;10;0;;;
100000;0;17;0;;;
100000;0;22;0;;;
100000;0;13;0;;;
100000;0;11;0;;;
100000;0;14;0;;;
100000;0;15;0;;;
100000;10;18;0,398582;;;
100000;0;16;0;;;
100000;0;17;0;;;
100000;0;18;0;;;
100000;0;21;0;;;
100000;0;17;0;;;
100000;0;15;0;;;
100000;0;11;0;;;
100000;0;19;0;;;
100000;0;26;0;;;
100000;0;9;0;;;
100000;11;2;0,855221;;;
100000;0;9;0;;;
100000;0;16;0;;;
100000;0;20;0;;;
100000;0;19;0;;;
100000;0;16;0;;;
100000;12;5;0,091227;;;
100000;0;13;0;;;
100000;0;13;0;;;
100000;0;11;0;;;
100000;0;10;0;;;
100000;10;2;0,669827;;;
100000;0;15;0;;;
100000;0;18;0;;;
100000;0;10;0;;;
100000;0;15;0;;;
100000;0;15;0;;;
100000;0;17;0;;;
100000;0;13;0;;;
100000;0;13;0;;;
100000;0;18;0;;;
100000;0;14;0;;;
100000;0;21;0;;;
100000;0;19;0;;;
100000;0;16;0;;;
100000;12;2;0,826315;;;
100000;0;14;0;;;
100000;0;13;0;;;
100000;0;20;0;;;
100000;0;16;0;;;
100000;0;20;0;;;
100000;0;25;0;;;
100000;0;18;0;;;
100000;0;20;0;;;
100000;0;17;0;;;
100000;0;12;0;;;
100000;0;14;0;;;
100000;0;18;0;;;
100000;11;5;0,265763;;;
100000;0;16;0;;;
100000;0;11;0;;;
100000;0;17;0;;;
100000;0;27;0;;;
100000;0;15;0;;;
100000;0;17;0;;;
100000;0;25;0;;;
100000;10;3;0,320426;;;
100000;0;14;0;;;
100000;9;1;0,121214;;;
100000;0;20;0;;;
100000;0;14;0;;;
100000;0;13;0;;;
100000;10;1;0,132131;;;
100000;0;13;0;;;
100000;0;15;0;;;
100000;0;29;0;;;
100000;0;10;0;;;
100000;0;20;0;;;
100000;0;16;0;;;
100000;0;12;0;;;
100000;0;20;0;;;
100000;0;16;0;;;
100000;0;13;0;;;
100000;0;8;0;;;
100000;0;11;0;;;
100000;0;14;0;;;
100000;0;24;0;;;
100000;12;4;0,516636;;;
100000;0;10;0;;;
100000;0;14;0;;;
100000;0;25;0;;;
100000;0;26;0;;;
100000;0;19;0;;;
100000;0;21;0;;;
100000;0;16;0;;;
100000;0;15;0;;;
100000;0;33;0;;;
