Algorithm:	Modified Algorithm nn=20 initAttems=20
20	5379
21	4934
22	4741
23	4378
24	4119
25	4022
26	3743
27	3535
28	3249
29	3159
30	2955
31	2695
32	2659
33	2477
34	2256
35	2245
36	2094
37	2056
38	1940
39	1697
40	1678
41	1604
42	1532
43	1408
44	1398
45	1250
46	1246
47	1191
48	1153
49	1044
50	956
51	944
52	910
53	856
54	816
55	809
56	745
57	683
58	633
59	623
60	608
61	614
62	599
63	512
64	473
65	473
66	472
67	432
68	397
69	393
70	411
71	346
72	356
73	323
74	318
75	304
76	285
77	277
78	262
79	255
80	251
81	245
82	201
83	196
84	197
85	233
86	184
87	182
88	160
89	155
90	157
91	144
92	141
93	161
94	141
95	114
96	121
97	114
98	106
99	99
100	91
101	127
102	78
103	93
104	97
105	85
106	77
107	95
108	72
109	90
110	59
111	55
112	67
113	62
114	48
115	54
116	58
117	54
118	55
119	55
120	60
121	36
122	51
123	44
124	39
125	42
126	36
127	31
128	30
129	35
130	33
131	23
132	31
133	31
134	23
135	24
136	32
137	25
138	21
139	23
140	18
141	22
142	15
143	15
144	16
145	11
146	13
147	12
148	22
149	14
150	17
151	13
152	17
153	15
154	15
155	10
156	13
157	9
158	14
159	8
160	13
161	11
162	9
163	8
164	10
165	10
166	10
167	10
168	13
169	8
170	7
171	6
172	8
173	2
174	10
175	12
176	6
177	3
178	5
179	9
180	6
181	5
182	2
183	3
184	4
185	4
186	4
187	2
188	6
189	2
190	2
191	3
192	3
193	3
194	3
195	4
196	3
197	4
198	1
199	2
200	1
201	5
202	3
203	4
204	3
205	2
206	3
207	2
208	1
209	3
210	1
211	2
212	3
213	2
214	1
215	3
216	3
217	2
218	3
219	3
220	1
222	3
224	1
225	2
226	2
227	3
231	1
232	1
235	1
238	2
240	3
242	1
243	2
244	1
248	3
250	1
252	1
253	1
254	1
255	2
256	3
257	1
259	1
260	1
261	1
262	2
263	1
271	1
272	2
273	1
274	1
278	3
284	1
285	1
296	1
297	1
306	1
312	1
315	1
347	1
Total link number:	1999784
