size;graphDistance;greedyWalkPathLenght;metricDistance
100000;2;6;0,093497
100000;2;6;0,093497
100000;0;6;0
100000;0;5;0
100000;2;7;0,093497
100000;0;7;0
100000;0;5;0
100000;0;4;0
100000;0;5;0
100000;0;6;0
100000;0;5;0
100000;2;5;0,093497
100000;0;7;0
100000;0;6;0
100000;0;6;0
100000;0;5;0
100000;0;8;0
100000;2;5;0,093497
100000;2;5;0,093497
100000;0;5;0
100000;2;7;0,093497
100000;0;5;0
100000;2;5;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;2;4;0,093497
100000;0;7;0
100000;0;7;0
100000;2;4;0,093497
100000;2;5;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;0;8;0
100000;2;6;0,093497
100000;0;5;0
100000;0;6;0
100000;0;7;0
100000;0;5;0
100000;0;5;0
100000;0;7;0
100000;2;6;0,093497
100000;0;6;0
100000;0;5;0
100000;0;5;0
100000;0;5;0
100000;2;5;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;0;5;0
100000;0;6;0
100000;0;6;0
100000;0;5;0
100000;0;4;0
100000;0;6;0
100000;2;6;0,093497
100000;0;7;0
100000;2;7;0,093497
100000;2;5;0,093497
100000;2;7;0,093497
100000;2;8;0,093497
100000;2;6;0,093497
100000;0;5;0
100000;2;6;0,093497
100000;0;4;0
100000;0;8;0
100000;0;7;0
100000;0;5;0
100000;0;4;0
100000;2;6;0,093497
100000;0;5;0
100000;0;6;0
100000;0;6;0
100000;0;7;0
100000;2;8;0,093497
100000;2;4;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;0;4;0
100000;2;5;0,093497
100000;2;5;0,093497
100000;2;7;0,093497
100000;2;7;0,093497
100000;2;7;0,093497
100000;0;4;0
100000;0;6;0
100000;2;4;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;0;5;0
100000;0;5;0
100000;0;5;0
100000;0;8;0
100000;2;6;0,093497
100000;0;6;0
100000;2;7;0,093497
100000;2;6;0,093497
100000;2;6;0,093497
100000;0;6;0
100000;0;4;0
100000;0;7;0
100000;0;6;0
100000;0;5;0
100000;0;5;0
100000;0;6;0
100000;0;5;0
100000;0;6;0
100000;0;6;0
100000;2;6;0,092716
100000;0;4;0
100000;0;7;0
100000;0;7;0
100000;2;5;0,092716
100000;0;5;0
100000;0;8;0
100000;2;6;0,092716
100000;0;4;0
100000;0;6;0
100000;0;6;0
100000;0;7;0
100000;0;6;0
100000;0;6;0
100000;0;6;0
100000;0;5;0
100000;0;4;0
100000;0;6;0
100000;0;7;0
100000;0;5;0
100000;0;8;0
100000;0;5;0
100000;0;7;0
100000;0;7;0
100000;0;7;0
100000;2;3;0,092716
100000;0;6;0
100000;0;5;0
100000;0;6;0
100000;0;5;0
100000;0;6;0
100000;0;5;0
100000;0;7;0
100000;0;5;0
100000;0;5;0
100000;0;6;0
100000;0;4;0
100000;0;5;0
100000;0;6;0
100000;0;5;0
100000;0;6;0
100000;0;8;0
100000;0;5;0
100000;0;5;0
100000;0;5;0
100000;2;4;0,092716
100000;0;6;0
100000;0;7;0
100000;0;6;0
100000;0;8;0
100000;0;7;0
100000;0;5;0
100000;0;7;0
100000;0;4;0
100000;0;7;0
100000;0;4;0
100000;0;7;0
100000;0;6;0
100000;0;5;0
100000;0;5;0
100000;0;7;0
100000;0;7;0
100000;0;4;0
100000;0;6;0
100000;2;6;0,092716
100000;0;5;0
100000;0;4;0
100000;0;5;0
100000;0;7;0
100000;0;5;0
100000;0;5;0
100000;0;3;0
100000;0;8;0
100000;0;7;0
100000;0;7;0
100000;0;5;0
100000;0;5;0
100000;2;4;0,092716
100000;0;6;0
100000;0;6;0
100000;0;5;0
100000;0;5;0
100000;2;3;0,092716
100000;0;5;0
100000;0;8;0
100000;0;7;0
100000;0;9;0
100000;0;6;0
100000;0;6;0
100000;0;8;0
100000;0;6;0
100000;0;9;0
100000;0;6;0
100000;0;9;0
100000;0;9;0
100000;0;6;0
100000;0;7;0
100000;0;10;0
100000;0;7;0
100000;0;7;0
100000;0;6;0
