size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;11; 12;0,031236;
100000;14; 4;0,638338;
100000;13; 1;0,291138;
100000;16; 3;0,464607;
100000;0; 10;0,000000;
100000;0; 15;0,000000;
100000;11; 12;0,031236;
100000;0; 24;0,000000;
100000;13; 1;0,442525;
100000;10; 3;0,067840;
100000;13; 10;0,626050;
100000;13; 2;0,366443;
100000;11; 10;0,304824;
100000;14; 6;0,561007;
100000;0; 30;0,000000;
100000;0; 10;0,000000;
100000;0; 13;0,000000;
100000;13; 2;0,389609;
100000;0; 11;0,000000;
100000;11; 3;0,055987;
100000;0; 10;0,000000;
100000;15; 4;0,108045;
100000;0; 16;0,000000;
100000;12; 4;0,382660;
100000;18; 2;0,336360;
100000;13; 2;0,471445;
100000;13; 2;0,230719;
100000;0; 14;0,000000;
100000;14; 1;0,320703;
100000;0; 13;0,000000;
100000;10; 4;0,147260;
100000;11; 8;0,037647;
100000;0; 15;0,000000;
100000;0; 38;0,000000;
100000;12; 1;0,213707;
100000;11; 2;0,260244;
100000;13; 1;0,331843;
100000;13; 5;0,306573;
100000;11; 2;0,044433;
100000;10; 8;0,176267;
100000;0; 33;0,000000;
100000;13; 11;0,290876;
100000;0; 14;0,000000;
100000;15; 1;0,365544;
100000;10; 19;0,138044;
100000;0; 17;0,000000;
100000;12; 1;0,267270;
100000;14; 5;0,591306;
100000;13; 5;0,188325;
100000;13; 7;0,570837;
100000;11; 2;0,090123;
100000;14; 7;0,561007;
100000;0; 18;0,000000;
100000;13; 2;0,258701;
100000;11; 22;0,031236;
100000;13; 3;0,480397;
100000;12; 3;0,152715;
100000;14; 1;0,562963;
100000;16; 10;0,586669;
100000;14; 12;0,331476;
100000;13; 5;0,147331;
100000;16; 1;0,367128;
100000;9; 1;0,146716;
100000;11; 1;0,112281;
100000;15; 8;0,237584;
100000;11; 2;0,282087;
100000;14; 1;0,096322;
100000;0; 27;0,000000;
100000;12; 7;0,101916;
100000;0; 24;0,000000;
100000;15; 1;0,356889;
100000;0; 30;0,000000;
100000;0; 17;0,000000;
100000;13; 8;0,057180;
100000;13; 2;0,316125;
100000;15; 9;0,356526;
100000;10; 9;0,076321;
100000;13; 7;0,456217;
100000;13; 3;0,124893;
100000;15; 8;0,308997;
100000;13; 4;0,254803;
100000;9; 2;0,029673;
100000;14; 1;0,244891;
100000;17; 1;0,370168;
100000;14; 1;0,177256;
100000;15; 6;0,333260;
100000;12; 5;0,164567;
100000;15; 11;0,165929;
100000;13; 2;0,290601;
100000;13; 2;0,590039;
100000;10; 2;0,143845;
100000;9; 5;0,011405;
100000;12; 14;0,211998;
100000;16; 19;0,504735;
100000;0; 8;0,000000;
100000;15; 4;0,271028;
100000;14; 5;0,293332;
100000;15; 16;0,165929;
100000;16; 10;0,578165;
100000;13; 6;0,173456;
100000;15; 2;0,643520;
100000;10; 4;0,744631;
100000;15; 4;0,271549;
100000;8; 2;0,025326;
100000;10; 2;0,004636;
100000;13; 13;0,235958;
100000;14; 1;0,707445;
100000;0; 8;0,000000;
100000;15; 10;0,130986;
100000;12; 4;0,097370;
100000;16; 3;0,218364;
100000;0; 15;0,000000;
100000;15; 3;0,453269;
100000;0; 11;0,000000;
100000;15; 4;0,447884;
100000;0; 14;0,000000;
100000;15; 3;0,575364;
100000;13; 3;0,191363;
100000;0; 11;0,000000;
100000;16; 13;0,128728;
100000;18; 5;0,566800;
100000;0; 9;0,000000;
100000;14; 7;0,769050;
100000;15; 6;0,309373;
100000;13; 4;0,091585;
100000;15; 9;0,139660;
100000;0; 16;0,000000;
100000;11; 1;0,042135;
100000;0; 15;0,000000;
100000;16; 4;0,560723;
100000;16; 1;0,815556;
100000;0; 27;0,000000;
100000;6; 10;0,002460;
100000;14; 2;0,756470;
100000;15; 9;0,362304;
100000;14; 4;0,583326;
100000;14; 1;0,262188;
100000;0; 22;0,000000;
100000;14; 4;0,246505;
100000;0; 30;0,000000;
100000;14; 1;0,479979;
100000;16; 3;0,563709;
100000;16; 2;0,618572;
100000;19; 2;0,563359;
100000;0; 15;0,000000;
100000;16; 15;0,782887;
100000;0; 9;0,000000;
100000;13; 6;0,721085;
100000;11; 5;0,748377;
100000;15; 1;0,698931;
100000;12; 1;0,108452;
100000;0; 27;0,000000;
100000;16; 7;0,600961;
100000;0; 19;0,000000;
100000;0; 38;0,000000;
100000;15; 4;0,498054;
100000;13; 1;0,519642;
100000;11; 5;0,333956;
100000;13; 5;0,786696;
100000;13; 7;0,103259;
100000;0; 14;0,000000;
100000;0; 20;0,000000;
100000;15; 3;0,150380;
100000;13; 13;0,235958;
100000;12; 3;0,227107;
100000;0; 15;0,000000;
100000;11; 3;0,098018;
100000;12; 2;0,167097;
