size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;6; 2;0,061021;
100000;6; 1;0,202131;
100000;6; 3;0,057486;
100000;6; 3;0,006406;
100000;6; 3;0,040383;
100000;5; 3;0,075632;
100000;7; 3;0,018472;
100000;6; 3;0,004514;
100000;6; 1;0,031879;
100000;6; 1;0,124799;
100000;7; 1;0,004755;
100000;6; 3;0,001351;
100000;6; 4;0,002191;
100000;6; 2;0,108345;
100000;6; 4;0,029896;
100000;5; 2;0,019865;
100000;5; 2;0,059317;
100000;5; 3;0,002577;
100000;4; 3;0,017820;
100000;6; 2;0,037025;
100000;5; 2;0,040881;
100000;6; 3;0,010489;
100000;4; 3;0,015614;
100000;6; 2;0,035183;
100000;6; 2;0,034841;
100000;6; 4;0,026991;
100000;6; 1;0,072522;
100000;6; 5;0,013846;
100000;5; 2;0,028877;
100000;6; 1;0,104209;
100000;6; 2;0,055285;
100000;6; 4;0,012468;
100000;6; 2;0,039166;
100000;5; 3;0,023635;
100000;6; 2;0,280573;
100000;5; 2;0,002417;
100000;6; 1;0,034954;
100000;6; 3;0,004647;
100000;5; 2;0,051563;
100000;6; 3;0,034179;
100000;7; 3;0,095243;
100000;6; 4;0,008519;
100000;6; 4;0,040277;
100000;6; 2;0,046069;
100000;7; 3;0,074226;
100000;6; 2;0,055640;
100000;6; 3;0,023595;
100000;6; 2;0,006678;
100000;5; 2;0,001276;
100000;6; 1;0,026101;
100000;6; 2;0,014424;
100000;5; 3;0,000870;
100000;6; 4;0,003559;
100000;6; 2;0,133457;
100000;6; 3;0,002771;
100000;6; 2;0,000131;
100000;5; 2;0,058373;
100000;5; 2;0,102097;
100000;6; 1;0,073144;
100000;5; 2;0,086114;
100000;7; 3;0,061857;
100000;6; 3;0,019158;
100000;6; 2;0,014371;
100000;6; 2;0,006353;
100000;6; 1;0,012200;
100000;5; 2;0,124399;
100000;5; 4;0,039304;
100000;5; 2;0,149063;
100000;7; 3;0,066720;
100000;6; 3;0,001721;
100000;6; 2;0,031561;
100000;6; 3;0,050445;
100000;6; 1;0,247187;
100000;5; 3;0,001086;
100000;6; 2;0,030541;
100000;7; 2;0,082042;
100000;6; 2;0,015082;
100000;6; 2;0,223074;
100000;6; 3;0,037028;
100000;6; 3;0,030975;
100000;6; 3;0,012729;
100000;5; 1;0,065099;
100000;5; 2;0,054866;
100000;4; 2;0,000145;
100000;6; 2;0,004069;
100000;7; 3;0,001983;
100000;6; 1;0,109376;
100000;6; 2;0,004334;
100000;6; 3;0,004430;
100000;7; 3;0,021229;
100000;6; 2;0,010400;
100000;6; 1;0,050742;
100000;6; 3;0,090717;
100000;6; 1;0,040654;
100000;6; 5;0,016646;
100000;6; 3;0,039158;
100000;4; 2;0,033806;
100000;5; 3;0,063968;
100000;6; 2;0,000540;
100000;6; 4;0,018180;
100000;4; 5;0,001173;
100000;6; 3;0,010477;
100000;5; 1;0,028403;
100000;6; 2;0,023532;
100000;6; 2;0,033361;
100000;6; 2;0,003892;
100000;5; 3;0,018729;
100000;7; 3;0,045650;
100000;6; 2;0,049941;
100000;6; 2;0,006140;
100000;7; 1;0,022327;
100000;7; 3;0,010214;
100000;5; 2;0,101841;
100000;6; 2;0,042585;
100000;6; 2;0,029506;
100000;5; 1;0,079924;
100000;6; 3;0,034066;
100000;6; 3;0,004392;
100000;5; 2;0,039416;
100000;7; 2;0,035644;
100000;7; 3;0,039653;
100000;7; 3;0,002325;
100000;6; 1;0,033825;
100000;6; 2;0,035061;
100000;5; 3;0,057934;
100000;5; 1;0,076339;
100000;5; 4;0,001457;
100000;6; 1;0,039655;
100000;4; 2;0,009630;
100000;6; 2;0,024148;
100000;5; 1;0,010675;
100000;6; 1;0,038231;
100000;6; 1;0,017209;
100000;6; 3;0,013622;
100000;6; 2;0,031142;
100000;5; 4;0,040217;
100000;6; 2;0,030188;
100000;6; 2;0,009247;
100000;6; 1;0,142330;
100000;6; 3;0,031099;
100000;6; 3;0,026067;
100000;6; 4;0,000151;
100000;7; 2;0,057875;
100000;5; 2;0,000039;
100000;6; 3;0,001149;
