Algorithm:	Modified Algorithm nn=9 initAttems=10
9	16413
10	12526
11	9694
12	7954
13	6290
14	5430
15	4471
16	3872
17	3188
18	2781
19	2468
20	2173
21	1856
22	1666
23	1477
24	1331
25	1210
26	1063
27	977
28	874
29	841
30	699
31	664
32	677
33	558
34	540
35	482
36	454
37	407
38	375
39	349
40	357
41	278
42	279
43	271
44	252
45	261
46	223
47	218
48	215
49	168
50	162
51	184
52	141
53	133
54	142
55	133
56	116
57	130
58	122
59	108
60	101
61	107
62	76
63	101
64	80
65	71
66	73
67	76
68	78
69	59
70	53
71	65
72	51
73	51
74	44
75	37
76	49
77	48
78	35
79	37
80	35
81	38
82	31
83	37
84	41
85	28
86	33
87	25
88	19
89	22
90	25
91	24
92	22
93	16
94	22
95	18
96	23
97	16
98	18
99	17
100	17
101	13
102	21
103	18
104	18
105	18
106	14
107	13
108	14
109	16
110	10
111	11
112	8
113	5
114	11
115	10
116	4
117	7
118	17
119	10
120	9
121	5
122	7
123	5
124	4
125	5
126	8
127	7
128	7
129	8
130	5
131	6
132	7
133	3
134	7
135	6
136	2
137	6
138	4
139	6
140	2
141	5
143	6
144	3
145	4
146	6
147	2
148	6
149	5
150	3
151	2
152	4
153	1
154	3
155	3
156	2
157	5
158	3
159	2
160	1
161	4
162	3
164	1
166	5
167	2
168	3
169	2
171	2
172	2
173	1
174	1
175	2
176	1
177	4
178	2
179	2
180	1
181	2
182	2
183	2
184	2
185	2
186	1
189	2
192	1
193	1
194	3
197	1
198	1
200	1
201	1
204	1
208	1
210	2
211	5
213	1
214	2
215	1
216	1
217	1
219	1
220	1
224	1
228	1
232	1
236	2
237	1
238	1
239	1
245	2
246	1
248	1
257	1
259	1
261	1
265	1
277	1
279	1
282	1
296	1
298	1
331	1
333	1
338	1
371	1
378	1
468	1
525	1
Total link number:	899955
